direction,k,precision,recall,f1
Optical_to_Optical,1,0.9548148148148148,0.00236131493150501,0.004710781893004115
Optical_to_Optical,5,0.9527901234567902,0.011781823163770732,0.023271039796317932
Optical_to_Optical,10,0.9513827160493828,0.023520717350692832,0.045888165071654136
Optical_to_Optical,20,0.950716049382716,0.047001092289703714,0.08950601765022571
Optical_to_Optical,50,0.9509037037037038,0.11750324486492957,0.2088189273731668
Multispectral_to_Multispectral,1,0.9767901234567902,0.0024153869234250567,0.0048186556927297675
Multispectral_to_Multispectral,5,0.9779259259259259,0.012093554229474345,0.023886735945581786
Multispectral_to_Multispectral,10,0.9781234567901235,0.024192114891461926,0.047197483435554625
Multispectral_to_Multispectral,20,0.9789876543209876,0.04843254362849864,0.09222844632646664
Multispectral_to_Multispectral,50,0.9799111111111112,0.12121508571682019,0.21538670708910856
Optical_to_Multispectral,1,0.9432098765432099,0.002319945130315501,0.004628319123276542
Optical_to_Multispectral,5,0.9387654320987654,0.011544910836762689,0.022804816908929645
Optical_to_Multispectral,10,0.9411111111111111,0.023151056241426608,0.045173028623239006
Optical_to_Multispectral,20,0.9434444444444444,0.04643780521262002,0.08845338076428165
Optical_to_Multispectral,50,0.9469333333333334,0.11660246913580247,0.20730397759103644
Multispectral_to_Optical,1,0.971604938271605,0.0023990672153635117,0.004786114324176058
Multispectral_to_Optical,5,0.9727901234567901,0.012008504801097393,0.0237192612562184
Multispectral_to_Optical,10,0.9740493827160494,0.024044499314128942,0.046911685928048716
Multispectral_to_Optical,20,0.9755308641975309,0.048159341563786,0.09171749492108142
Multispectral_to_Optical,50,0.97760987654321,0.12065267489711934,0.21444305840854863
