direction,k,precision,recall,f1
Optical_to_Optical,1,0.9498765432098766,0.002349213775249087,0.0046866392318244176
Optical_to_Optical,5,0.9515555555555556,0.011763222228478922,0.02323438137852221
Optical_to_Optical,10,0.9514814814814815,0.023527995339750928,0.04590204284598494
Optical_to_Optical,20,0.9516790123456791,0.04706705468793047,0.08962936846059305
Optical_to_Optical,50,0.9519901234567901,0.11769078763321916,0.2091380010091433
SAR_to_SAR,1,0.8111111111111111,0.0019949317951698914,0.003979917695473251
SAR_to_SAR,5,0.8042962962962964,0.009890718779810195,0.019537357644780623
SAR_to_SAR,10,0.804320987654321,0.019773384330788582,0.03858336829278037
SAR_to_SAR,20,0.8037654320987654,0.03949830704122234,0.07524276701809308
SAR_to_SAR,50,0.8024296296296297,0.09851104392261496,0.1752091830306014
Optical_to_SAR,1,0.9261728395061728,0.0022825240054869687,0.0045536412168683885
Optical_to_SAR,5,0.9302222222222222,0.011460301783264746,0.022637158259246264
Optical_to_SAR,10,0.9267654320987654,0.02283012345679012,0.04454507361286231
Optical_to_SAR,20,0.9260864197530865,0.045643072702331956,0.08693355885061828
Optical_to_SAR,50,0.9194716049382716,0.11330496570644719,0.20142248780993882
SAR_to_Optical,1,0.7962962962962963,0.0019335528120713308,0.0038576066170471256
SAR_to_Optical,5,0.8052839506172839,0.009770919067215363,0.01930436337914048
SAR_to_Optical,10,0.8055308641975308,0.019549190672153632,0.038159507764930864
SAR_to_Optical,20,0.8071358024691359,0.039210205761316876,0.07473970500709885
SAR_to_Optical,50,0.8093777777777778,0.09836043895747601,0.175156974789916
